GPU Usage          ,Framerate           ,Frametime           
11,134.3,0
9,134.3,0
9,134.3,0
9,134.3,0
8,134.3,0
9,134.3,0
8,134.3,0
9,134.3,0
8,134.3,0
9,134.3,0
10,134.3,0
12,134.3,0
11,134.3,0
11,134.3,0
11,134.3,0
5,134.3,0
11,134.3,0
11,134.3,0
12,0,0
11,0,0
11,0,0
8,0,0
9,0,0
8,0,0
9,0,0
8,0,0
9,0,0
8,0,0
9,0,0
9,0,0
11,0,0
11,0,0
12,0,0
11,0,0
12,0,0
5,0,0
12,0,0
6,0,0
4,0,0
3,0,0
3,0,0
5,0,0
0,0,0
2,0,0
2,0,0
3,0,0
2,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
2,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,324.7,22879.432
10,86.3,74.899
9,102.1,22.574
7,109.1,24.519
10,110.9,20.663
13,113.2,18.517
19,114.3,16.308
19,115,17.115
18,115.9,16.94
16,116.3,17.639
19,115.7,17.372
19,122.2,17.409
19,121.3,17.79
16,120.6,17.422
16,121,17.124
13,120.7,17.66
15,120.8,17.167
7,121,16.992
15,120.7,17.04
7,120.8,17.551
8,120.7,16.61
7,120.7,17.094
